ID,Total NDVI,Average NDVI,Image Name
10,456653,182.6612,Photo1_2023_02_08_12_00_38_NDVI.jpg
1,459699,183.8796,Photo1_2023_02_06_12_00_39_NDVI.jpg
2,465125,186.05,Photo1_2023_02_06_12_00_39_NDVI.jpg
3,461663,184.6652,Photo1_2023_02_06_12_00_39_NDVI.jpg
4,463072,185.2288,Photo1_2023_02_06_12_00_39_NDVI.jpg
5,471460,188.584,Photo1_2023_02_06_12_00_39_NDVI.jpg
6,470555,188.222,Photo1_2023_02_06_12_00_39_NDVI.jpg
7,476329,190.5316,Photo1_2023_02_06_12_00_39_NDVI.jpg
8,475793,190.3172,Photo1_2023_02_06_12_00_39_NDVI.jpg
9,456924,182.7696,Photo1_2023_02_06_12_00_39_NDVI.jpg
10,456626,182.6504,Photo1_2023_02_06_12_00_39_NDVI.jpg
1,461782,184.7128,Photo1_2023_02_06_13_00_37_NDVI.jpg
2,466140,186.456,Photo1_2023_02_06_13_00_37_NDVI.jpg
3,462871,185.1484,Photo1_2023_02_06_13_00_37_NDVI.jpg
4,464521,185.8084,Photo1_2023_02_06_13_00_37_NDVI.jpg
5,468094,187.2376,Photo1_2023_02_06_13_00_37_NDVI.jpg
6,469204,187.6816,Photo1_2023_02_06_13_00_37_NDVI.jpg
7,471375,188.55,Photo1_2023_02_06_13_00_37_NDVI.jpg
8,475241,190.0964,Photo1_2023_02_06_13_00_37_NDVI.jpg
9,460443,184.1772,Photo1_2023_02_06_13_00_37_NDVI.jpg
10,460728,184.2912,Photo1_2023_02_06_13_00_37_NDVI.jpg
1,459047,183.6188,Photo1_2023_02_06_14_00_36_NDVI.jpg
2,460258,184.1032,Photo1_2023_02_06_14_00_36_NDVI.jpg
3,461309,184.5236,Photo1_2023_02_06_14_00_36_NDVI.jpg
4,461913,184.7652,Photo1_2023_02_06_14_00_36_NDVI.jpg
5,466027,186.4108,Photo1_2023_02_06_14_00_36_NDVI.jpg
6,468601,187.4404,Photo1_2023_02_06_14_00_36_NDVI.jpg
7,468526,187.4104,Photo1_2023_02_06_14_00_36_NDVI.jpg
8,470489,188.1956,Photo1_2023_02_06_14_00_36_NDVI.jpg
9,458469,183.3876,Photo1_2023_02_06_14_00_36_NDVI.jpg
10,457951,183.1804,Photo1_2023_02_06_14_00_36_NDVI.jpg
1,459767,183.9068,Photo1_2023_02_06_15_00_37_NDVI.jpg
2,465329,186.1316,Photo1_2023_02_06_15_00_37_NDVI.jpg
3,465866,186.3464,Photo1_2023_02_06_15_00_37_NDVI.jpg
4,463024,185.2096,Photo1_2023_02_06_15_00_37_NDVI.jpg
5,465619,186.2476,Photo1_2023_02_06_15_00_37_NDVI.jpg
6,473903,189.5612,Photo1_2023_02_06_15_00_37_NDVI.jpg
7,474597,189.8388,Photo1_2023_02_06_15_00_37_NDVI.jpg
8,474645,189.858,Photo1_2023_02_06_15_00_37_NDVI.jpg
9,456226,182.4904,Photo1_2023_02_06_15_00_37_NDVI.jpg
10,454529,181.8116,Photo1_2023_02_06_15_00_37_NDVI.jpg
1,462016,184.8064,Photo1_2023_02_06_10_00_41_NDVI.jpg
2,458074,183.2296,Photo1_2023_02_06_10_00_41_NDVI.jpg
3,455081,182.0324,Photo1_2023_02_06_10_00_41_NDVI.jpg
4,454129,181.6516,Photo1_2023_02_06_10_00_41_NDVI.jpg
5,456857,182.7428,Photo1_2023_02_06_10_00_41_NDVI.jpg
6,457126,182.8504,Photo1_2023_02_06_10_00_41_NDVI.jpg
7,456028,182.4112,Photo1_2023_02_06_10_00_41_NDVI.jpg
8,448893,179.5572,Photo1_2023_02_06_10_00_41_NDVI.jpg
9,453172,181.2688,Photo1_2023_02_06_10_00_41_NDVI.jpg
10,454194,181.6776,Photo1_2023_02_06_10_00_41_NDVI.jpg
1,460201,184.0804,Photo1_2023_02_06_11_00_41_NDVI.jpg
2,460217,184.0868,Photo1_2023_02_06_11_00_41_NDVI.jpg
3,459633,183.8532,Photo1_2023_02_06_11_00_41_NDVI.jpg
4,464019,185.6076,Photo1_2023_02_06_11_00_41_NDVI.jpg
5,466598,186.6392,Photo1_2023_02_06_11_00_41_NDVI.jpg
6,465657,186.2628,Photo1_2023_02_06_11_00_41_NDVI.jpg
7,463709,185.4836,Photo1_2023_02_06_11_00_41_NDVI.jpg
8,466130,186.452,Photo1_2023_02_06_11_00_41_NDVI.jpg
9,457089,182.8356,Photo1_2023_02_06_11_00_41_NDVI.jpg
10,456429,182.5716,Photo1_2023_02_06_11_00_41_NDVI.jpg
1,457428,182.9712,Photo1_2023_02_07_11_00_33_NDVI.jpg
2,457380,182.952,Photo1_2023_02_07_11_00_33_NDVI.jpg
3,456695,182.678,Photo1_2023_02_07_11_00_33_NDVI.jpg
4,457862,183.1448,Photo1_2023_02_07_11_00_33_NDVI.jpg
5,460440,184.176,Photo1_2023_02_07_11_00_33_NDVI.jpg
6,459156,183.6624,Photo1_2023_02_07_11_00_33_NDVI.jpg
7,460333,184.1332,Photo1_2023_02_07_11_00_33_NDVI.jpg
8,463285,185.314,Photo1_2023_02_07_11_00_33_NDVI.jpg
9,456369,182.5476,Photo1_2023_02_07_11_00_33_NDVI.jpg
10,455474,182.1896,Photo1_2023_02_07_11_00_33_NDVI.jpg
1,456973,182.7892,Photo1_2023_02_07_13_00_38_NDVI.jpg
2,460621,184.2484,Photo1_2023_02_07_13_00_38_NDVI.jpg
3,459041,183.6164,Photo1_2023_02_07_13_00_38_NDVI.jpg
4,458008,183.2032,Photo1_2023_02_07_13_00_38_NDVI.jpg
5,462358,184.9432,Photo1_2023_02_07_13_00_38_NDVI.jpg
6,460859,184.3436,Photo1_2023_02_07_13_00_38_NDVI.jpg
7,463827,185.5308,Photo1_2023_02_07_13_00_38_NDVI.jpg
